,Zona,Titulo,Teléfono,Dirección,Información General,Principal,Enrolment,Ethos,Catchment,Fees
14,Dublin-4,St Michaels College ,Phone:_ 01-2189400  ," Ailesbury Road Dublin 4  ,Dublin City D04NC59",Post Primary School  Roll number:_60561G e:_admin@stmichaelscollege.com  w:_www.stmichaelscollege.com, Principal:_Mr. Tim Kelleher ,Enrolment:_Boys:_713    (2022/23) ,Ethos:_Catholic   ,:_Sandymount-Ballsbridge-Donnybrook ,"Fees:_Yes €6,153"
15,Dublin-4,Marian College ,Phone:_ 01-6684036  ," Ballsbridge Dublin 4  ,Dublin City D04W268",Post Primary School  Roll number:_60500J e:_pmeany@mariancollege.ie w:_www.mariancollege.ie, Principal:_Ms Oonagh McCaul ,Enrolment:_Boys:_305 Girls:_1    (2022/23) ,Ethos:_Catholic   ,:_Sandymount-Ballsbridge-Donnybrook ,Fees:_No 
16,Dublin-4,Ringsend College ,Phone:_ 01-6684498  ," Cambridge Road Ringsend Dublin 4  ,Dublin City D04N227",Post Primary School  Roll number:_70200D e:_info@ringsend.cdetb.ie w:_www.ringsendcollege.ie, Principal:_Paul Ryder ,Enrolment:_Boys:_86 Girls:_133    (2022/23) ,Ethos:_Inter Denominational   ,:_South Inner City ,Fees:_No 
17,Dublin-4,Muckross Park College ,Phone:_ 01-4914033  ," Donnybrook Dublin 4  ,Dublin City D04CF59",Post Primary School  Roll number:_60710U e:_principal@muckrossparkcollege.com w:_www.muckrossparkcollege.com, Principal:_Anne Mee ,Enrolment:_Girls:_707    (2022/23) ,Ethos:_Catholic   ,:_Sandymount-Ballsbridge-Donnybrook ,Fees:_No 
18,Dublin-4,Sandymount Park Educate Together Secondary School ,Phone:_ 01 910 6230  ," The Sandymount Building, Simmonscourt Road,  ,Dublin D04AK00",Post Primary School  Roll number:_68305F e:_office@sandymountparketss.ie w:_www.sandymountparketss.ie, Principal:_Paula Mulhall ,Enrolment:_Boys:_148 Girls:_160    (2022/23) ,Ethos:_Multi Denominational    ,,Fees:
19,Dublin-5,Greendale Community School ,Phone:_ Closed 30th June 2007  ," Briarfield Villas Kilbarrack Dublin 5  ,Dublin City 5",Post Primary School  Roll number:_91341P     , Principal:_Closed ,Enrolment:_Boys:_98 Girls:_95    (2022/23) ,Ethos:_Inter Denominational   ,:_Kilmore-Coolock-Priorswood-Darndale-Artane-Beaumomt ,Fees:_No 
20,Dublin-5,St John Of God Secondary School ,Phone:_ Closed June '07  ," Kilmore Road Artane Dublin 5  ,Dublin City 5",Post Primary School  Roll number:_60881B     , Principal:_Closed ,Enrolment:_Girls:_171    (2022/23) ,Ethos:_Catholic   ,:_Kilmore-Coolock-Priorswood-Darndale-Artane-Beaumomt ,Fees:_No 
21,Dublin-5,St. David's C.B.S. ,Phone:_ 01-8315322  ," Malahide Road Artane Dublin 5  ,Dublin City D05W667",Post Primary School  Roll number:_60471F e:_principal@stdavidscbs.ie w:_www.stdavidscbs.ie, Principal:_Michael Nally ,Enrolment:_Boys:_483    (2022/23) ,Ethos:_Catholic   ,:_Kilmore-Coolock-Priorswood-Darndale-Artane-Beaumomt ,Fees:_No 
22,Dublin-5,Chanel College ,Phone:_ 01-8480655  ," Malahide Road, Coolock  ,Dublin Fingal D05EY86",Post Primary School  Roll number:_60550B e:_chaneloffice@chanelcollege.ie w:_www.chanelcollege.ie, Principal:_Dara Gill ,Enrolment:_Boys:_534    (2022/23) ,Ethos:_Catholic   ,:_Kilmore-Coolock-Priorswood-Darndale-Artane-Beaumomt ,Fees:_No 
23,Dublin-5,Ardscoil La Salle ,Phone:_ 01-8480055  ," Raheny Road Raheny Dublin 5  ,Dublin City D05Y132",Post Primary School  Roll number:_60291D e:_secretary@ardscoillasalle.ie w:_www.ardscoillasalle.ie, Principal:_Colm Mythen ,Enrolment:_Boys:_127 Girls:_124    (2022/23) ,Ethos:_Catholic   ,:_Edenmore-Raheny-Clontarf-Killester ,Fees:_No 
24,Dublin-5,Mercy College Coolock ,Phone:_ 01-8480888  ," St Brendans Drive Coolock Dublin 5  ,Dublin City D05C958",Post Primary School  Roll number:_60871V e:_info@mercycoolock.ie w:_www.mercycoolock.ie, Principal:_Patricia Dwyer ,Enrolment:_Girls:_412    (2022/23) ,Ethos:_Catholic   ,:_Kilmore-Coolock-Priorswood-Darndale-Artane-Beaumomt ,Fees:_No 
25,Dublin-5,St Marys Holy Faith Secondary School ,Phone:_ 01-8310963  ," St Brigids Road Killester Dublin 5  ,Dublin City D05K588",Post Primary School  Roll number:_60791A e:_admin@hfk.ie w:_www.holyfaith.ie, Principal:_Evelyn Mcloughlin ,Enrolment:_Girls:_345    (2022/23) ,Ethos:_Catholic   ,:_Edenmore-Raheny-Clontarf-Killester ,Fees:_No 
26,Dublin-5,St Pauls College ,Phone:_ 01-8314011  ," Sybil Hill Raheny Dublin 5  ,Dublin City D05C673",Post Primary School  Roll number:_60290B e:_admin@stpaulscollege.ie w:_www.stpaulscollege.ie, Principal:_Sean Moran ,Enrolment:_Boys:_644    (2022/23) ,Ethos:_Catholic   ,:_Edenmore-Raheny-Clontarf-Killester ,Fees:_No 
27,Dublin-5,Manor House School ,Phone:_ 01-8316782  ," Watermill Road Raheny Dublin 5  ,Dublin City D05R827",Post Primary School  Roll number:_60300B e:_principal@manorhouseschool.com w:_www.manorhouseschool.com, Principal:_Ms. Mary O'Neill ,Enrolment:_Girls:_683    (2022/23) ,Ethos:_Catholic   ,:_Edenmore-Raheny-Clontarf-Killester ,Fees:_No 
28,Dublin-6,Stratford College ,Phone:_ 01-4922315  ," 1 Zion Road Rathgar Dublin 6  ,Dublin City D06T9V3",Post Primary School  Roll number:_61020A e:_admin@stratfordcollege.ie  w:_www.stratfordcollege.ie, Principal:_Patricia Gordon ,Enrolment:_Boys:_97 Girls:_77    (2022/23) ,Ethos:_Jewish   ,:_Rathmines-Rathgar ,"Fees:_Yes €4,400"
29,Dublin-6,St Louis High School ,Phone:_ 01-4975458  ," Charleville Road Rathmines Dublin 6  ,Dublin City D06F860",Post Primary School  Roll number:_60890C e:_stlouishs.rathmines@gmail.com w:_www.stlouishighschool.ie, Principal:_Cliona Mcdonough ,Enrolment:_Girls:_674    (2022/23) ,Ethos:_Catholic   ,:_Rathmines-Rathgar ,Fees:_No 
30,Dublin-6,The High School ,Phone:_ 01-4922611  ," Danum, Zion Road, Rathgar, Dublin 6  ,Dublin City D06YR68",Post Primary School  Roll number:_60670L e:_office@highschooldublin.com w:_www.highschooldublin.com, Principal:_Andrew Forrest ,Enrolment:_Boys:_452 Girls:_354    (2022/23) ,Ethos:_Church Of Ireland   ,":_Non-Catholic Schools, Dublin ","Fees:_Yes €6,650"
31,Dublin-6,Alexandra College ,Phone:_ 01-4977571  ," Milltown Dublin 6  ,Dublin City D06KX50",Post Primary School  Roll number:_60910F e:_info@alexandracollege.ie w:_www.alexandracollege.ie  Check out their Facebook page, Principal:_Barbara Ennis ,Enrolment:_Girls:_658    (2022/23) ,Ethos:_Church Of Ireland   ,":_Non-Catholic Schools, Dublin ","Fees:_Yes €7,992 (Boarding 18,991/20,141)"
32,Dublin-6,St Marys College ,Phone:_ 014995700  ," Rathmines Dublin 6  ,Dublin Belgard D06CH79",Post Primary School  Roll number:_60560E e:_sensec@stmarys.ie w:_www.stmarys.ie, Principal:_Denis Murphy ,Enrolment:_Boys:_476    (2022/23) ,Ethos:_Catholic   ,:_Rathmines-Rathgar ,"Fees:_Yes €6,590"
33,Dublin-6,Gonzaga College ,Phone:_ 01-4972931  ," Sandford Road Ranelagh Dublin 6  ,Dublin City D06KF95",Post Primary School  Roll number:_60530S e:_headmaster@gonzaga.ie w:_www.gonzaga.ie, Principal:_Damon Mccaul ,Enrolment:_Boys:_570    (2022/23) ,Ethos:_Catholic   ,:_Sandymount-Ballsbridge-Donnybrook ,"Fees:_Yes €7,081"
34,Dublin-6,Sandford Park School ,Phone:_ 01-4971417  ," Sandford Road Ranelagh  ,Dublin City D06FN29",Post Primary School  Roll number:_60640C e:_admin@sandfordparkschool.ie w:_www.sandfordparkschool.ie, Principal:_Ms Edith Byrne ,Enrolment:_Boys:_261 Girls:_175    (2022/23) ,Ethos:_Inter Denominational   ,":_Ranelagh, Rathmines ","Fees:_Yes €7,500"
35,Dublin-6w,Our Lady's School ,Phone:_ 01-4903241  ," Templeogue Rd Terenure Dublin 6W  ,Dublin Belgard D6WKF44",Post Primary School  Roll number:_60860Q e:_admin@olschool.ie w:_olschool.ie, Principal:_Marguerite Gorby ,Enrolment:_Girls:_774    (2022/23) ,Ethos:_Catholic   ,:_Terenure-Templeogue-Willington ,Fees:_No 
36,Dublin-6w,Terenure College ,Phone:_ 01-4904621  ," Templeogue Road Terenure Dublin 6W  ,Dublin City D6WDK72",Post Primary School  Roll number:_60570H e:_admin@terenurecollege.ie w:_www.terenurecollege.ie  Check out their facebook!, Principal:_Philip Wallace ,Enrolment:_Boys:_744    (2022/23) ,Ethos:_Catholic   ,:_Terenure-Templeogue-Willington ,"Fees:_Yes €5,550"
37,Dublin-6w,Templeogue College ,Phone:_ 01-4905788  ," Templeville Road Dublin 6W  ,Dublin Belgard D6WE622",Post Primary School  Roll number:_60562I e:_info@templeoguecollege.ie w:_www.templeoguecollege.ie, Principal:_Niamh Quinn ,Enrolment:_Boys:_690    (2022/23) ,Ethos:_Catholic   ,:_Terenure-Templeogue-Willington ,Fees:_No 
38,Dublin-6w,Presentation Community College ,Phone:_ 01-4902404  ," Terenure Dublin 6W  ,Dublin City D6WCP28",Post Primary School  Roll number:_76092K e:_info@pct.cdetb.ie w:_www.presentationcollege.ie, Principal:_Mr Tommy Brown ,Enrolment:_Boys:_209 Girls:_258    (2022/23) ,Ethos:_Catholic   ,:_Terenure-Templeogue-Willington ,Fees:_No 
39,Dublin-6w,St Mac Dara's Community College ,Phone:_ 01-4566216  ," Wellington Lane Templeogue Dublin 6W  ,Dublin Belgard D6WEW83",Post Primary School  Roll number:_70260V e:_stmacdaras@ddletb.ie w:_www.stmacdaras.ie, Principal:_Derek Ward ,Enrolment:_Boys:_422 Girls:_420    (2022/23) ,Ethos:_Inter Denominational   ,:_Terenure-Templeogue-Willington ,Fees:_No 
40,Dublin-7,Coláiste Mhuire ,Phone:_ 01-8688996  ," Bothar Rath Tó Baile Atha Cliath 7  ,Dublin City D07CY97",Post Primary School  Roll number:_60450U e:_runai@colaistemhuire.ie w:_colaistemhuire.ie, Principal:_Oisin Mac Eoin ,Enrolment:_Boys:_122 Girls:_131    (2022/23) ,Ethos:_Catholic   ,:_North Inner City ,Fees:_No 
41,Dublin-7,St Dominics College ,Phone:_ 01-8385282  ," Cabra Dublin 7  ,Dublin Fingal D07NX47",Post Primary School  Roll number:_60731F e:_admin@stdominics.ie w:_www.stdominics.ie, Principal:_Ann Cameron ,Enrolment:_Girls:_779    (2022/23) ,Ethos:_Catholic   ,:_Cabra ,Fees:_No 
42,Dublin-7,Cabra Community College ,Phone:_ 01-8389577  ," Kilkieran Road Cabra Dublin 7  ,Dublin City D07XC84",Post Primary School  Roll number:_70150O e:_info@cabracc.cdetb.ie  w:_www.cabracc.ie  Check out their facebook!, Principal:_Neil Flaherty  ,Enrolment:_Boys:_127 Girls:_90    (2022/23) ,Ethos:_Inter Denominational   ,:_Cabra ,Fees:_No 
43,Dublin-7,St Declan's College ,Phone:_ 01-8380357  ," Nephin Road Cabra Dublin 7  ,Dublin City D07NN63",Post Primary School  Roll number:_60491L e:_info@stdeclanscollege.ie w:_www.stdeclanscollege.ie, Principal:_Brian Avery ,Enrolment:_Boys:_664    (2022/23) ,Ethos:_Catholic   ,:_Cabra ,Fees:_No 
44,Dublin-7,The Brunner ,Phone:_ 01-8720781  ," Nth Brunswick Street Dublin 7  ,Dublin City D07VF57",Post Primary School  Roll number:_60430O e:_principal@thebrunner.ie w:_thebrunner.ie, Principal:_Patrick Mc Cormack ,Enrolment:_Boys:_219    (2022/23) ,Ethos:_Catholic   ,:_North Inner City ,Fees:_No 
45,Dublin-7,Stanhope Street Girls Secondary School ,Phone:_ 01-6710419  ," Stanhope St Dublin 7  ,Dublin City D07YP03",Post Primary School  Roll number:_60843Q e:_info@stanhopesecondary.ie w:_stanhopesecondary.ie/, Principal:_John O'Brien ,Enrolment:_Girls:_239    (2022/23) ,Ethos:_Catholic   ,:_North Inner City ,Fees:_No 
46,Dublin-8,Mercy Secondary School ,Phone:_ 01-4531262  ," Goldenbridge Inchicore Dublin 8  ,Dublin Belgard D08Y4X0",Post Primary School  Roll number:_60872A e:_info@mercyinchicore.ie w:_mercyinchicore.ie, Principal:_Michelle O' Kelly ,Enrolment:_Boys:_63 Girls:_164    (2022/23) ,Ethos:_Catholic   ,:_Inchicore-Bluebell ,Fees:_No 
47,Dublin-8,C.B.S. James Street ,Phone:_ 01-4547756  ," James's Street Dublin 8  ,Dublin City D08K338",Post Primary School  Roll number:_60410I e:_jamesstcbs123@outlook.ie w:_www.cbsjamesstreet.ie  Check out their Facebook page!, Principal:_Pauline Queally ,Enrolment:_Boys:_123 Girls:_57    (2022/23) ,Ethos:_Catholic   ,:_South Inner City ,Fees:_No 
48,Dublin-8,St Patricks Cathedral Grammar School ,Phone:_ 01-4543388  ," St Patricks Close Dublin 8  ,Dublin City D08WK19",Post Primary School  Roll number:_60660I e:_admin@stpatrickscgs.ie w:_www.stpatrickscgs.ie, Principal:_Timothy Gill ,Enrolment:_Boys:_143 Girls:_134    (2022/23) ,Ethos:_Church Of Ireland   ,":_Non-Catholic Schools, Dublin ",Fees:
49,Dublin-8,Synge Street Cbs ,Phone:_ 01-4783998  ," Synge Street Dublin 8  ,Dublin City D08R283",Post Primary School  Roll number:_60470D e:_office@syngestreet.com w:_www.syngestreet.com, Principal:_Mrs Clare Catterson ,Enrolment:_Boys:_311    (2022/23) ,Ethos:_Catholic   ,:_South Inner City ,Fees:_No 
50,Dublin-8,Presentation College ,Phone:_ 01-4547520  ," Warrenmount Dublin 8  ,Dublin City D08W0X7",Post Primary School  Roll number:_60792C e:_info@warrenmountss.ie w:_http://www.ceist.ie/ceist_schools/view_school.cfm?loadref=83, Principal:_Ms Gwen Brennan ,Enrolment:_Boys:_11 Girls:_141    (2022/23) ,Ethos:_Catholic   ,:_South Inner City ,Fees:_No 
51,Dublin-9,Dominican College ,Phone:_ 01-8376080  ," 204 Griffith Ave Drumcondra Dublin 9  ,Dublin City D09A5X0",Post Primary School  Roll number:_60690R e:_admin@dominican-college.com w:_www.dominican-college.com/, Principal:_Olive Laffoy ,Enrolment:_Girls:_786    (2022/23) ,Ethos:_Catholic   ,:_Whitehall-Drumcondra-Glasnevin ,Fees:_No 
52,Dublin-9,Our Lady Of Mercy College ,Phone:_ 01-8371478  ," Beaumont Dublin 9  ,Dublin City D09V327",Post Primary School  Roll number:_60870T e:_secretary@mercybeaumont.com w:_mercybeaumont.com, Principal:_Sandra Doyle ,Enrolment:_Girls:_356    (2022/23) ,Ethos:_Catholic   ,:_Kilmore-Coolock-Priorswood-Darndale-Artane-Beaumomt ,Fees:_No 
53,Dublin-9,Scoil Chaitriona ,Phone:_ 01-8370762  ," Bóthar Mobhí Glasnaíon Ath Cliath 9  ,Dublin Fingal D09TW99",Post Primary School  Roll number:_60700R e:_oifig@scoilchaitriona.ie w:_scoilchaitriona.ie, Principal:_Fiona O'Cathain ,Enrolment:_Boys:_244 Girls:_265    (2022/23) ,Ethos:_Catholic   ,:_Whitehall-Drumcondra-Glasnevin ,Fees:_No 
54,Dublin-9,St. Aidan's C.B.S. ,Phone:_ 01-8377587  ," Collins Avenue Ext Whitehall Dublin 9  ,Dublin City D09XT54",Post Primary School  Roll number:_60481I e:_secretary@staidanscbs.ie w:_www.staidanscbs.ie, Principal:_Liam Reilly ,Enrolment:_Boys:_724    (2022/23) ,Ethos:_Catholic   ,:_Whitehall-Drumcondra-Glasnevin ,Fees:_No 
55,Dublin-9,Maryfield College ,Phone:_ 01-8373574  ," Glandore Road Drumcondra Dublin 9  ,Dublin City D09AE64",Post Primary School  Roll number:_60840K e:_admin@maryfieldcollege.ie w:_www.maryfieldcollege.ie, Principal:_Maree O Rourke ,Enrolment:_Girls:_516    (2022/23) ,Ethos:_Catholic   ,:_Whitehall-Drumcondra-Glasnevin ,Fees:_No 
56,Dublin-9,Rosmini Community School ,Phone:_ 01-8371694  ," Grace Park Road Drumcondra Dublin 9  ,Dublin City D09H020",Post Primary School  Roll number:_91344V e:_info@pobalscoilrosmini.ie w:_www.pobalscoilrosmini.ie, Principal:_Darrell Darcy ,Enrolment:_Boys:_58 Girls:_17    (2022/23) ,Ethos:_Inter Denominational   ,:_Whitehall-Drumcondra-Glasnevin ,Fees:_No 
57,Dublin-9,Ardscoil Rís ,Phone:_ 01-8332633  ," Griffith Avenue Dublin 9  ,Dublin City D09AK30",Post Primary School  Roll number:_60420L e:_admin@ardscoilris.com w:_ardscoilrisdublin.ie/, Principal:_John Mc Hugh ,Enrolment:_Boys:_557    (2022/23) ,Ethos:_Catholic   ,:_Whitehall-Drumcondra-Glasnevin ,Fees:_No 
58,Dublin-9,Plunket College ,Phone:_ 01-8371689  ," Swords Road Whitehall Dublin 9  ,Dublin City D09C94K",Post Primary School  Roll number:_70310K e:_info@plunket.cdetb.ie w:_www.plunketcollege.ie/, Principal:_Adrian Delaney ,Enrolment:_Boys:_24 Girls:_16    (2022/23) ,Ethos:_Inter Denominational   ,:_Whitehall-Drumcondra-Glasnevin ,Fees:_No 
59,Dublin-9,Clonturk Community College ,Phone:_ 01 5596960  ," Swords Road, Whitehall  ,Dublin D09W5K6",Post Primary School  Roll number:_76394D e:_info@clonturkcc.cdetb.ie w:_www.clonturkcc.ie, Principal:_Ms. Wesleigh O'Hagan  ,Enrolment:_Boys:_426 Girls:_399    (2022/23) ,Ethos:_Multi Denominational    ,,Fees:
60,Dublin-9,Margaret Aylward Community College ,Phone:_ 01-8375712  ," Thatch Road Whitehall Dublin 9  ,Dublin City D09RHN3",Post Primary School  Roll number:_70321P e:_info@macc.cdetb.ie w:_www.margaretaylwardcc.ie, Principal:_Sinéad Dunne ,Enrolment:_Boys:_40 Girls:_88    (2022/23) ,Ethos:_Inter Denominational   ,:_Whitehall-Drumcondra-Glasnevin ,Fees:_No 
61,Dublin-10,Caritas College ,Phone:_ 01-6265927  ," Drumfinn Road Ballyfermot Dublin 10  ,Dublin D10RR94",Post Primary School  Roll number:_60732H e:_info@caritascollege.ie w:_www.caritascollege.ie, Principal:_Tara Brady ,Enrolment:_Girls:_169    (2022/23) ,Ethos:_Catholic   ,:_Ballyfermot ,Fees:_No 
62,Dublin-10,Kylemore College ,Phone:_ 01-6265901  ," Kylemore Road Ballyfermot Dublin 10  ,Dublin City D10RY73",Post Primary School  Roll number:_70240P e:_info@kylemore.cdetb.ie w:_www.kylemorecollege.ie, Principal:_Deirdre Nolan ,Enrolment:_Boys:_277 Girls:_177    (2022/23) ,Ethos:_Inter Denominational   ,:_Ballyfermot ,Fees:_No 
63,Dublin-10,St Dominic's Secondary School ,Phone:_ 01-6266493  ," Kylemore Road, Ballyfermot, Dublin 10  ,Dublin City D10RD29",Post Primary School  Roll number:_60720A e:_info@stdominicsballyfermot.ie w:_www.stdominicsballyfermot.ie  Check out their facebook!, Principal:_Sarah Green ,Enrolment:_Girls:_323    (2022/23) ,Ethos:_Catholic   ,:_Ballyfermot ,Fees:_No 
64,Dublin-10,St Johns College De La Salle ,Phone:_ 01-6264943  ," Le Fanu Rd Ballyfermot Dublin 10  ,Dublin City D10X592",Post Primary School  Roll number:_60510M e:_johnscollegereception@gmail.com w:_www.stjohnsdls.ie, Principal:_Anne Marie Leonard ,Enrolment:_Boys:_283    (2022/23) ,Ethos:_Catholic   ,:_Ballyfermot ,Fees:_No 
65,Dublin-11,St Kevins College ,Phone:_ 01-8371423  ," Ballygall Rd East, Finglas Dublin 11  ,Dublin City D11VF10",Post Primary School  Roll number:_60581M e:_info@stkevinscollege.com w:_www.stkevinscollege.com, Principal:_Sarah Barry ,Enrolment:_Boys:_535    (2022/23) ,Ethos:_Catholic   ,:_Finglas ,Fees:_No 
66,Dublin-11,Beneavin De La Salle College ,Phone:_ 01-8341410  ," Beneavin Road Finglas Dublin 11  ,Dublin City D11NH7E",Post Primary School  Roll number:_60511O e:_school@beneavin.com w:_www.beneavin.com  Check out their facebook!, Principal:_Ann Marie Leonard ,Enrolment:_Boys:_576    (2022/23) ,Ethos:_Catholic   ,:_Finglas ,Fees:_No 
67,Dublin-11,New Cross College ,Phone:_ 01-8343165  ," Cappagh Finglas Dublin 11  ,Dublin Fingal D11NC56",Post Primary School  Roll number:_68181N e:_admin@newcross.ie  Check out their facebook!, Principal:_Derek Lynch ,Enrolment:_Boys:_125 Girls:_130    (2022/23) ,Ethos:_Catholic   ,:_Finglas ,Fees:
68,Dublin-11,Mater Christi ,Phone:_ Amalgamated Sept '14  ," Cappagh Finglas Dublin 11  ,Dublin Fingal 11",Post Primary School  Roll number:_60852R     , Principal:_Amalgamated Sept '14 ,Enrolment:_Girls:_202    (2022/23) ,Ethos:_Catholic   ,:_Finglas ,Fees:_No 
69,Dublin-11,Coláiste Eoin ,Phone:_ 01-8341426  ," Cappagh Road Finglas West Dublin 11  ,Dublin City D11AY65",Post Primary School  Roll number:_70180A e:_info@eoin.cdetb.ie w:_www.colaisteeoin.ie, Principal:_Paula O Brien ,Enrolment:_Boys:_186 Girls:_122    (2022/23) ,Ethos:_Inter Denominational   ,:_Finglas ,Fees:_No 
70,Dublin-11,Patrician College ,Phone:_ Amalgamated Sept '14  ," Deanstown Ave Finglas West Dublin 11  ,Dublin City 11",Post Primary School  Roll number:_60571J     , Principal:_Amalgamated Sept '14 ,Enrolment:_Boys:_183    (2022/23) ,Ethos:_Catholic   ,:_Finglas ,Fees:_No 
71,Dublin-11,St Vincents Glasnevin ,Phone:_ 01-8304375  ," Glasnevin Dublin 11  ,Dublin City D11XV05",Post Primary School  Roll number:_60400F e:_office@stvincentsd11.ie w:_stvincentsd11.ie, Principal:_Marie Quinn ,Enrolment:_Boys:_400    (2022/23) ,Ethos:_Catholic   ,:_Whitehall-Drumcondra-Glasnevin ,Fees:_No 
